address,Latitude,Longitude,PostalCode,dist_to_cbd,nearest_healthcare_dist,nearest_shopping_dist
174 ANG MO KIO AVE 4 SINGAPORE,1.37509746867904,103.83761896123,560174,10.256788205853617,1.0096240099631917,0.9904703260680887
541 ANG MO KIO AVE 10 SINGAPORE,1.37392239168826,103.855621371068,560541,10.022305957391255,1.001684236493307,0.8973009808453243
163 ANG MO KIO AVE 4 SINGAPORE,1.37354853919927,103.838176471398,560163,10.07729749268068,0.9380930078533882,0.8824461528633534
446 ANG MO KIO AVE 10 SINGAPORE,1.36776095130953,103.855357145908,560446,9.336561963846886,1.1828723865265705,0.7840633921228234
557 ANG MO KIO AVE 10 SINGAPORE,1.3716257020332,103.857736107527,560557,9.781357661975479,1.2605401881568188,1.0638833316229719
603 ANG MO KIO AVE 5 SINGAPORE,1.38020079047279,103.83575571651,560603,10.849473331730893,1.399836003632141,1.458890921833777
709 ANG MO KIO AVE 8 SINGAPORE,1.37113720765377,103.847662320064,560709,9.71039925702217,0.32038835156307466,0.07468190130707823
333 ANG MO KIO AVE 1 SINGAPORE,1.3613425564061,103.851698621454,560333,8.612511299814944,1.498269617572693,0.9504730858323092
109 ANG MO KIO AVE 4 SINGAPORE,1.3700965375834,103.837687766047,560109,9.706089565818225,1.0748738609296322,0.9409261248596648
564 ANG MO KIO AVE 3 SINGAPORE,1.36984837555524,103.859404131956,560564,9.599685496463298,1.489116464078264,0.8284667484840788
218 ANG MO KIO AVE 1 SINGAPORE,1.36511908595886,103.841742478489,560218,9.095807874189855,1.108579782482199,0.877387647562864
556 ANG MO KIO AVE 10 SINGAPORE,1.37203236308683,103.857625375797,560556,9.825582848481188,1.2404215244630166,1.0641936995416923
156 ANG MO KIO AVE 4 SINGAPORE,1.37549519574964,103.839947470774,560156,10.265245086267045,0.7637994642215723,0.775672636006224
471 ANG MO KIO AVE 10 SINGAPORE,1.36346600647245,103.856702918462,560471,8.868255585378119,1.6075029347345222,0.9577758411808929
434 ANG MO KIO AVE 10 SINGAPORE,1.3678915069194,103.85345502653,560434,9.34347575960883,1.0066729202051805,0.5751586923458533
560 ANG MO KIO AVE 10 SINGAPORE,1.37081626777721,103.859192334256,560560,9.704717883478773,1.4379081537173937,0.9175590811482587
332 ANG MO KIO AVE 1 SINGAPORE,1.36167030761833,103.851955453764,560332,8.649116024881929,1.4758458936639745,0.9284093000724134
421 ANG MO KIO AVE 10 SINGAPORE,1.36538422642267,103.852966961527,560421,9.063553352710578,1.1743439518778245,0.6601683721254319
506 ANG MO KIO AVE 8 SINGAPORE,1.37440041920745,103.84893617353,560506,10.0681035550491,0.26640896740611314,0.31536262869256343
631 ANG MO KIO AVE 4 SINGAPORE,1.3795572819161,103.840735651035,560631,10.703545712119691,0.912992309247785,1.0265660486901096
153 ANG MO KIO AVE 5 SINGAPORE,1.37635745661369,103.842056476563,560153,10.334229706586253,0.579606410000304,0.6548649114220656
442 ANG MO KIO AVE 10 SINGAPORE,1.36565326940253,103.855232195496,560442,9.101804331690342,1.3202637284059084,0.852328839825682
558 ANG MO KIO AVE 10 SINGAPORE,1.37123613284274,103.859192016193,560558,9.751215608244744,1.42775119520204,0.9504402181589052
212 ANG MO KIO AVE 3 SINGAPORE,1.36880359418469,103.841618072603,560212,9.50434247090317,0.786890708221639,0.5943481711442541
152 ANG MO KIO AVE 5 SINGAPORE,1.3766876256746,103.840159506601,560152,10.393971243268174,0.7848587316223594,0.832624860830452
331 ANG MO KIO AVE 1 SINGAPORE,1.36211140145298,103.85076647513,560331,8.698209486780572,1.381457288823559,0.83456039332366
121 ANG MO KIO AVE 3 SINGAPORE,1.36970563478325,103.843515981311,560121,9.582426261539386,0.5724287610218903,0.367088875502671
130 ANG MO KIO AVE 3 SINGAPORE,1.37039791675237,103.841878840032,560130,9.677272992632453,0.6492408069036342,0.48379386672192487
646 ANG MO KIO AVE 6 SINGAPORE,1.37939517687868,103.843763599411,560646,10.653579561402113,0.6960625484358371,0.8641442877815653
424 ANG MO KIO AVE 3 SINGAPORE,1.36860660305158,103.850808805402,560424,9.420388452616141,0.7441839331794246,0.2704413175123506
584 ANG MO KIO AVE 3 SINGAPORE,1.37071307985916,103.853497803014,560584,9.657242894395877,0.8398994350534995,0.5825788642610369
412 ANG MO KIO AVE 10 SINGAPORE,1.36385512178453,103.855287998999,560412,8.90238465273374,1.469061923729442,0.9674576139159902
612 ANG MO KIO AVE 4 SINGAPORE,1.37890791374409,103.838602654716,560612,10.660802381463467,1.0547907520615596,1.1259484209703785
562 ANG MO KIO AVE 3 SINGAPORE,1.37018144221919,103.85901883576,560562,9.63269573958482,1.4374077856390624,0.8850731030909688
223 ANG MO KIO AVE 1 SINGAPORE,1.36604808445916,103.838122716883,560223,9.253940352858146,1.2795267368296466,1.0889467252704246
150 ANG MO KIO AVE 5 SINGAPORE,1.37680678506745,103.842017962576,560150,10.38437017437896,0.6090876566368179,0.6958317629229931
468 ANG MO KIO AVE 10 SINGAPORE,1.36487674599293,103.856287317569,560468,9.021874016205146,1.4649037673779732,0.9866173563127744
177 ANG MO KIO AVE 4 SINGAPORE,1.37583827139652,103.838123054825,560177,10.330097846031757,0.9698668500373364,0.9721439173970748
415 ANG MO KIO AVE 10 SINGAPORE,1.36445335577543,103.853655233672,560415,8.961889263284593,1.3030552099200736,0.7861874442535955
254 ANG MO KIO AVE 4 SINGAPORE,1.37020344042146,103.834687722549,560254,9.775650378358945,1.3850913559779394,1.2666464401074724
